MARKET,TIMESTAMP,RULE_COMBO_LENGTH,RULE_TO_DISABLE,NUM_RECORDS_AUTOMATION_GAIN,TMP_BASIC_AUTO,TMP_BASIC_MANUAL,TMP_BASIC_GOOD,TMP_FINAL_AUTO,TMP_FINAL_MANUAL,TMP_FINAL_GOOD,TMP_CURRENT_DEMOGRAPHIC_SCORE_NUMERATOR,TMP_CURRENT_DEMOGRAPHIC_SCORE_DENOMINATOR,TMP_CURRENT_NETWORK_SCORE_NUMERATOR,TMP_CURRENT_NETWORK_SCORE_DENOMINATOR,TMP_DEMOGRAPHIC_NUMERATOR_AFTER_AUTOUPDATES,TMP_DEMOGRAPHIC_DENOMINATOR_AFTER_AUTOUPDATES,CURRENT_DEMOGRAPHIC_SCORE,CURRENT_NETWORK_SCORE,CURRENT_OVERALL_DIRECTORY_SCORE,DEMOGRAPHIC_SCORE_AFTER_AUTOUPDATES,OVERALL_DIRECTORY_SCORE_AFTER_AUTOUPDATES,TMP_ADDRESS_NUMERATOR_AFTER_AUTOUPDATES,TMP_ADDRESS_DENOMINATOR_AFTER_AUTOUPDATES,ADDRESS_DEMO_SCORE_AFTER_AUTOUPDATES,ADDRESS_OD_SCORE_AFTER_AUTOUPDATES,TMP_DEMOGRAPHIC_NUMERATOR_AFTER_MANUALUPDATES,TMP_DEMOGRAPHIC_DENOMINATOR_AFTER_MANUALUPDATES,DEMOGRAPHIC_SCORE_AFTER_MANUALUPDATES,OVERALL_DIRECTORY_SCORE_AFTER_MANUALUPDATES,DEMOGRAPHIC_SCORE_IMPROVEMENT_AFTER_MANUALUPDATES,OVERALL_DIRECTORY_SCORE_IMPROVEMENT_AFTER_MANUALUPDATES
CA,20240728,2,NO_RENDERING_NPI_CLAIMS_S|NTWK_LOSS_S,60,238828,129624,136688,16172,238583,278639,1104820.8,1352439.0,7712896.0,7744717.0,1138804.4,1332531.0,81.691,99.5891,96.9283,85.4618,97.5152,1408516.2,1551666,90.7744,98.1179,1408372.2,1551486,90.7757,98.1182,0.0013,3.0E-4
CA,20240728,3,RLTN_CNT_S|WORKER_COMP_NTWK_CHK_S|SPCLTY_CNT_S,6,238828,129624,136688,16172,238583,278639,1104820.8,1352439.0,7712896.0,7744717.0,1138804.4,1332531.0,81.691,99.5891,96.9283,85.4618,97.5152,1408516.2,1551666,90.7744,98.1179,1408501.8,1551648,90.7746,98.1179,2.0E-4,0.0
CA,20240728,3,NO_RENDERING_NPI_CLAIMS_S|NTWK_LOSS_S|RLTN_CNT_S,5,238828,129624,136688,16172,238583,278639,1104820.8,1352439.0,7712896.0,7744717.0,1138804.4,1332531.0,81.691,99.5891,96.9283,85.4618,97.5152,1408516.2,1551666,90.7744,98.1179,1408504.2,1551651,90.7745,98.1179,1.0E-4,0.0
CA,20240728,5,ISPCP_S|WORKER_COMP_NTWK_CHK_S|ISPCP_S|NTWK_LOSS_S|NPI_NTWK_LOSS_S,5,238828,129624,136688,16172,238583,278639,1104820.8,1352439.0,7712896.0,7744717.0,1138804.4,1332531.0,81.691,99.5891,96.9283,85.4618,97.5152,1408516.2,1551666,90.7744,98.1179,1408504.2,1551651,90.7745,98.1179,1.0E-4,0.0
CA,20240728,4,WORKER_COMP_NTWK_CHK_S|PADRS_EFF_DT_S|NTWK_LOSS_S|NPI_NTWK_LOSS_S,47,238828,129624,136688,16172,238583,278639,1104820.8,1352439.0,7712896.0,7744717.0,1138804.4,1332531.0,81.691,99.5891,96.9283,85.4618,97.5152,1408516.2,1551666,90.7744,98.1179,1408403.4,1551525,90.7754,98.1181,0.001,2.0E-4
CA,20240728,3,NO_RENDERING_NPI_CLAIMS_S|ISPCP_S|ISPCP_S,6,238828,129624,136688,16172,238583,278639,1104820.8,1352439.0,7712896.0,7744717.0,1138804.4,1332531.0,81.691,99.5891,96.9283,85.4618,97.5152,1408516.2,1551666,90.7744,98.1179,1408501.8,1551648,90.7746,98.1179,2.0E-4,0.0
CA,20240728,4,ISPCP_S|WORKER_COMP_NTWK_CHK_S|NTWK_LOSS_S|NPI_NTWK_LOSS_S,94,238828,129624,136688,16172,238583,278639,1104820.8,1352439.0,7712896.0,7744717.0,1138804.4,1332531.0,81.691,99.5891,96.9283,85.4618,97.5152,1408516.2,1551666,90.7744,98.1179,1408290.6,1551384,90.7764,98.1184,0.002,5.0E-4
CA,20240728,2,NTWK_LOSS_S|SPCLTY_CNT_S,359,238828,129624,136688,16172,238583,278639,1104820.8,1352439.0,7712896.0,7744717.0,1138804.4,1332531.0,81.691,99.5891,96.9283,85.4618,97.5152,1408516.2,1551666,90.7744,98.1179,1407654.6,1550589,90.7819,98.12,0.0075,0.0021
CA,20240728,1,SUPPRESS_HOSP_SPCLTY_S,3571,238828,129624,136688,16172,238583,278639,1104820.8,1352439.0,7712896.0,7744717.0,1138804.4,1332531.0,81.691,99.5891,96.9283,85.4618,97.5152,1408516.2,1551666,90.7744,98.1179,1399945.8,1540953,90.8494,98.1388,0.075,0.0209
CA,20240728,3,PADRS_EFF_DT_S|WORKER_COMP_NTWK_CHK_S|PADRS_EFF_DT_S,21,238828,129624,136688,16172,238583,278639,1104820.8,1352439.0,7712896.0,7744717.0,1138804.4,1332531.0,81.691,99.5891,96.9283,85.4618,97.5152,1408516.2,1551666,90.7744,98.1179,1408465.8,1551603,90.7749,98.118,5.0E-4,1.0E-4
