MARKET,TIMESTAMP,RULE_COMBO_LENGTH,RULE_TO_DISABLE,NUM_RECORDS_AUTOMATION_GAIN,NUM_RECORDS,ADDRESS_BASIC_AUTO,ADDRESS_BASIC_MANUAL,ADDRESS_BASIC_GOOD,ADDRESS_FINAL_AUTO,ADDRESS_FINAL_MANUAL,ADDRESS_FINAL_GOOD,PHONE_FINAL_AUTO,PHONE_FINAL_MANUAL,PHONE_FINAL_GOOD,SPCLTY_AUTO,SPCLTY_MANUAL,SPCLTY_GOOD,CURRENT_DEMOGRAPHIC_SCORE,CURRENT_NETWORK_SCORE,CURRENT_OVERALL_DIRECTORY_SCORE
CA,20240804,1,WORKER_COMP_NTWK_CHK_S,7913,455556,242404,130714,136960,16357,239580,282716,4243,119886,350213,11256,66335,377965,81.6,99.6,96.9
CA,20240804,3,NTWK_LOSS_S|NPI_NTWK_LOSS_S|RLTN_CNT_S,502,455556,242404,130714,136960,16357,239580,282716,4243,119886,350213,11256,66335,377965,81.6,99.6,96.9
CA,20240804,5,ISPCP_S|RLTN_CNT_S|WORKER_COMP_NTWK_CHK_S|NTWK_LOSS_S|NPI_NTWK_LOSS_S,10,455556,242404,130714,136960,16357,239580,282716,4243,119886,350213,11256,66335,377965,81.6,99.6,96.9
CA,20240804,4,NTWK_LOSS_S|SPCLTY_CNT_S|NTWK_LOSS_S|WORKER_COMP_NTWK_CHK_S,19,455556,242404,130714,136960,16357,239580,282716,4243,119886,350213,11256,66335,377965,81.6,99.6,96.9
CA,20240804,5,ISPCP_S|NTWK_LOSS_S|NPI_NTWK_LOSS_S|ISPCP_S|RLTN_CNT_S,15,455556,242404,130714,136960,16357,239580,282716,4243,119886,350213,11256,66335,377965,81.6,99.6,96.9
CA,20240804,8,NTWK_LOSS_S|SPCLTY_CNT_S|NTWK_LOSS_S|NPI_NTWK_LOSS_S|NTWK_LOSS_S|NTWK_LOSS_S|SPCLTY_CNT_S|NPI_NTWK_LOSS_S,24,455556,242404,130714,136960,16357,239580,282716,4243,119886,350213,11256,66335,377965,81.6,99.6,96.9
CA,20240804,4,NTWK_LOSS_S|NPI_NTWK_LOSS_S|RLTN_CNT_S|WORKER_COMP_NTWK_CHK_S,67,455556,242404,130714,136960,16357,239580,282716,4243,119886,350213,11256,66335,377965,81.6,99.6,96.9
CA,20240804,11,WORKER_COMP_NTWK_CHK_S|SUPPRESS_HOSP_SPCLTY_S|WORKER_COMP_NTWK_CHK_S|PADRS_EFF_DT_S|SUPPRESS_HOSP_SPCLTY_S|RLTN_CNT_S|SUPPRESS_HOSP_SPCLTY_S|RLTN_CNT_S|WORKER_COMP_NTWK_CHK_S|SUPPRESS_HOSP_SPCLTY_S|SUPPRESS_HOSP_SPCLTY_S,2,455556,242404,130714,136960,16357,239580,282716,4243,119886,350213,11256,66335,377965,81.6,99.6,96.9
CA,20240804,5,NTWK_LOSS_S|NPI_NTWK_LOSS_S|RLTN_CNT_S|WORKER_COMP_NTWK_CHK_S|WORKER_COMP_NTWK_CHK_S,42,455556,242404,130714,136960,16357,239580,282716,4243,119886,350213,11256,66335,377965,81.6,99.6,96.9
CA,20240804,5,NO_RENDERING_NPI_CLAIMS_S|OPT_VENDOR_S|WORKER_COMP_NTWK_CHK_S|OPT_VENDOR_S|WORKER_COMP_NTWK_CHK_S,7,455556,242404,130714,136960,16357,239580,282716,4243,119886,350213,11256,66335,377965,81.6,99.6,96.9
